BvD,name,ISO,NACE,revenue,employees,city,ROE,ind.NAICS,logrev
JP1180301018771,TOYOTA MOTOR CORPORATION,JP,2910,275344922.1,359542,TOYOTA,12.026,29,8.439877072
KR1301110006246,"SAMSUNG ELECTRONICS CO.,LTD.",KR,2611,198998863.5,NA,SUWON-SI,11.938,26,8.298850596
JP6010401027577,HONDA MOTOR CO LTD,JP,3091,137359793.1,218674,TOKYO,9.533,30,8.137859628
JP5010001008771,MITSUBISHI CORPORATION,JP,4649,135968118.8,86098,TOKYO,10.437,46,8.133437089
JP5010001112697,JAPAN POST HOLDING CO LTD,JP,6420,109937299.1,245472,TOKYO,5.941,64,8.041145063
JP7010001065142,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,JP,6190,109470243,319039,TOKYO,13.698,61,8.039296082
JP7120001077358,ITOCHU CORPORATION,JP,4649,101039267.5,128146,TOKYO,18.264,46,8.004490189
JP9010001131743,ENEOS HOLDINGS INC,JP,1920,92457482.49,40983,TOKYO,-5.014,19,7.965942064
KR1101110085450,"HYUNDAI MOTOR CO.,LTD.",KR,2910,91333929.38,NA,SEOUL,5.943,29,7.960632142
JP9020001031109,NISSAN MOTOR CO LTD,JP,2910,90881935.05,136134,YOKOHAMA,-12.95,29,7.958477565
JP1010401056795,SOFTBANK GROUP CORP,JP,6209,87457482.31,80909,TOKYO,-1.52,62,7.941796971
JP7010001008844,HITACHI LTD,JP,2712,87241862.8,295941,TOKYO,11.434,27,7.94072493
KR1101110769583,"SK HOLDINGS CO.,LTD.",KR,6209,85735511.61,NA,SEOUL,16.64,62,7.933160744
JP6040001003380,AEON CO LTD,JP,4711,78649051.63,160227,CHIBA,9.445,47,7.89569349
JP5010401067252,SONY CORPORATION,JP,2640,75987905.1,111700,TOKYO,16.692,26,7.880744472
JP5120001158218,PANASONIC CORPORATION,JP,2751,68927242.49,259385,KADOMA,13.5,27,7.838390904
JP1010001008767,MITSUI & CO LTD,JP,4649,63694215.63,45624,TOKYO,13.158,46,7.804099994
JP9010001008776,MARUBENI CORPORATION,JP,4690,62811786.89,45635,TOKYO,-10.341,46,7.798041149
JP6180001031731,TOYOTA TSUSHO CORPORATION,JP,4649,61587269.83,58086,MINATO,16.379,46,7.789490952
JP1010001095203,SEVEN & I HOLDINGS CO LTD,JP,4711,60734544.72,57270,TOKYO,12.566,47,7.78343578
JP1010001008825,TOKYO ELECTRIC POWER COMPANY HOLDINGS INCORPORATED,JP,3511,57418787.63,37892,TOKYO,2.374,35,7.759054018
JP3010001008848,NIPPON STEEL CORPORATION,JP,2410,55697324.82,105796,TOKYO,6.896,24,7.745834336
JP9010001011318,IDEMITSU KOSAN CO LTD,JP,1920,55619597.13,13766,TOKYO,-1.435,19,7.745227839
KR1746110000741,"POSCO CO.,LTD.",KR,2410,55594099.74,NA,NA,6.866,24,7.745028702
KR1101112487050,LG ELECTRONICS INC.,KR,2640,53814282.13,NA,SEOUL,3.689,26,7.730897551
KR1146710001456,KOREA ELECTRIC POWER CORPORATION,KR,3511,51108041.81,NA,NA,-4.839,35,7.708489241
KR1101110037998,KIA MOTORS CORPORATION,KR,2910,50221074.27,NA,SEOUL,8.735,29,7.700885998
JP1010001008692,SUMITOMO CORPORATION,JP,4649,48907545.38,72642,TOKYO,9.356,46,7.689375867
JP9011101031552,KDDI CORPORATION,JP,6190,48295429.45,31527,CHIYODA,21.006,61,7.683906032
JP8010001131752,DAI-ICHI LIFE HOLDINGS INC.,JP,6500,48179014,62938,TOKYO,8.599,65,7.682857908
JP9180301014251,DENSO CORPORATION,JP,2932,47589431.26,170932,NAGOYA,2.519,29,7.677510515
JP9010401052465,SOFTBANK CORP,JP,6190,44840700.72,37821,TOKYO,47.506,61,7.651672391
JP4010001073486,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",JP,6420,43676340.05,138570,TOKYO,4.921,64,7.640246239
KR1101110002959,HANWHA CORP.,KR,2059,43541544.04,NA,SEOUL,5.725,20,7.638903826
KR1101113710385,"SK INNOVATION CO., LTD.",KR,610,43078713.81,NA,SEOUL,2.155,6,7.634262728
JP1010001067912,NTT DOCOMO INC,JP,6190,42790157.87,27558,TOKYO,16.463,61,7.631343889
JP4010001008772,MITSUBISHI ELECTRIC CORPORATION,JP,2790,41081234.17,146518,TOKYO,11.107,27,7.613643482
JP6120001059662,DAIWA HOUSE INDUSTRY COMPANY LIMITED,JP,4110,40296312.34,47133,OSAKA,19.718,41,7.605265304
JP8010401050387,MITSUBISHI HEAVY INDUSTRIES LTD,JP,2899,37243432.75,81631,TOKYO,-2.532,28,7.571049703
JP6010001112696,JAPAN POST INSURANCE CO. LTD,JP,6500,35569601.26,8269,TOKYO,7.99,65,7.551078997
JP1020001071491,FUJITSU LIMITED,JP,2620,35490314.01,129071,TOKYO,16.95,26,7.550109842
JP6180301013611,AISIN SEIKI CO LTD,JP,2932,35057636.9,119535,KARIYA,2.974,29,7.544782639
JP2010001081053,"SUMITOMO MITSUI FINANCIAL GROUP, INC",JP,6420,34838060.08,86443,TOKYO,8.24,64,7.542053964
JP7010001078061,TOKIO MARINE HOLDINGS INC.,JP,6500,34589958.23,40848,TOKYO,10.785,65,7.538950038
JP6010001080308,JFE HOLDINGS INC,JP,2452,34312025.1,NA,TOKYO,-12.509,24,7.535446351
JP8010401059206,MITSUBISHI CHEMICAL HOLDINGS CORPORATION,JP,2059,33594959.76,69609,TOKYO,10.173,20,7.526274125
JP2010401044997,TOSHIBA CORPORATION,JP,2611,33299126.95,128697,TOKYO,0.642,26,7.522432847
JP4010001116542,MS&AD INSURANCE GROUP HOLDINGS INC.,JP,6500,33191608.01,41467,TOKYO,5.587,65,7.521028293
JP6010801003186,CANON INCORPORATED,JP,2823,32929791.6,187041,TOKYO,6.769,28,7.517588982
KR1101110215536,"HYUNDAI MOBIS CO.,LTD.",KR,2932,32862988.87,NA,SEOUL,9.942,29,7.51670706
JP3010001034943,BRIDGESTONE CORPORATION,JP,2211,32309382.9,143589,TOKYO,17.372,22,7.509328663
JP8080401002431,SUZUKI MOTOR CORPORATION,JP,2910,32092301.01,68499,HAMAMATSU,13.717,29,7.506400857
JP3240001036223,MAZDA MOTOR CORPORATION,JP,2910,31557360.79,50479,HIROSHIMA,4.087,29,7.499100675
JP5011101019196,SUBARU CORPORATION,JP,2910,30816183.21,35034,TOKYO,12.072,29,7.488778848
JP2120001077461,TAKEDA PHARMACEUTICAL COMPANY LIMITED,JP,2120,30779173.09,47495,NA,-1.285,21,7.488256948
JP5010001068510,MEDIPAL HOLDINGS CORPORATION,JP,4645,29927130.75,13599,TOKYO,12.435,46,7.476065081
JP3120001059632,THE KANSAI ELECTRIC POWER COMPANY INCORPORATED,JP,3511,29294012.05,31850,OSAKA,11.473,35,7.466778856
KR1101110015639,CJ CORP.,KR,1081,29175770.53,NA,SEOUL,13.24,10,7.465022335
JP7010401022916,NEC CORPORATION,JP,2620,28588961.43,112638,TOKYO,11.123,26,7.456198379
JP5120001077450,SUMITOMO ELECTRIC INDUSTRIES LTD,JP,2434,28583506.04,283910,OSAKA,7.539,24,7.456115498
JP3180001017428,CHUBU ELECTRIC POWER COMPANY INCORPORATED,JP,3511,28205649.55,28448,NAGOYA,10.749,35,7.450336106
JP9011101055980,SOMPO HOLDINGS INC.,JP,6500,27113470.35,49387,TOKYO,11.489,65,7.433185108
JP9011001029597,EAST JAPAN RAILWAY COMPANY,JP,4910,27107995.41,71812,NA,8.955,49,7.433097404
KR1101110015762,SAMSUNG C&T CORPORATION,KR,4641,26568925.1,NA,SEOUL,6.335,46,7.424373984
JP1010401120741,COSMO ENERGY HOLDINGS COMPANY LIMITED,JP,1920,25188620.92,6846,TOKYO,3.834,19,7.401204391
JP3010001084757,ALFRESA HOLDINGS CORPORATION,JP,4645,24825309.04,12074,TOKYO,12.473,46,7.394894664
KR1101112207995,"LG CHEM, LTD.",KR,2059,24723650.36,NA,SEOUL,3.296,20,7.393112593
JP2010801012645,MITSUBISHI SHOKUHIN LTD,JP,4617,24422245.55,5019,TOKYO,9.238,46,7.387785594
JP8120001059660,DAIKIN INDUSTRIES LIMITED,JP,2825,23461868.33,80369,OSAKA,17.515,28,7.370362593
KR1344110001387,SK HYNIX INC.,KR,2611,23312086.17,NA,ICHEON-SI,5.097,26,7.36758114
KR1701110638661,"HYUNDAI HEAVY INDUSTRIES HOLDINGS CO.,LTD.",KR,1920,23000806.45,NA,SEOUL,2.538,19,7.361743064
JP3010001094558,NIPPON STEEL TRADING CORPORATION,JP,4672,22817443.29,7971,TOKYO,12.448,46,7.35826698
JP1010401010455,KOMATSU LTD,JP,2892,22508795.62,62823,TOKYO,12.02,28,7.352352258
JP8120001059652,SEKISUI HOUSE LIMITED,JP,4120,22151573.13,27397,OSAKA,16.175,41,7.345404574
KR1146710006125,KOREA GAS CORP.,KR,3522,21577681.68,NA,DAEGU,1.482,35,7.334004782
JP9250001000684,FAST RETAILING CO LTD,JP,4771,21564230.15,56523,YAMAGUCHI,25.667,47,7.333733958
JP9010001081419,MIZUHO FINANCIAL GROUP,JP,6420,21405906.9,57264,TOKYO,7.141,64,7.330533632
JP6010401065370,FUJIFILM HOLDINGS CORPORATION,JP,2670,21298446,73906,TOKYO,8.681,26,7.328347917
KR1101112137358,POSCO INTERNATIONAL CORPORATION,KR,2432,21093949.89,NA,SEOUL,10.827,24,7.32415791
KR1101110189955,S-OIL CORPORATION,KR,1920,21069419.01,NA,SEOUL,1.699,19,7.32365256
KR1101111468754,KT CORPORATION,KR,6190,21024412.1,NA,SEONGNAM-SI,7.168,61,7.322723861
JP6120001005484,SHARP CORPORATION,JP,2611,20894646.53,52876,OSAKA,12.989,26,7.320035029
JP7010401029044,MITSUBISHI MOTORS CORPORATION,JP,2910,20885704.49,32171,MINATO,0.482,29,7.319849129
JP9010601021385,NTT DATA CORPORATION,JP,6201,20853800.17,133196,NA,12.169,62,7.319185208
JP5010001060426,"RECRUIT HOLDINGS CO.,LTD.",JP,7820,20832637.04,45856,TOKYO,24.666,78,7.318744247
JP4370001011311,TOHOKU ELECTRIC POWER COMPANY INCORPORATED,JP,3511,20665768.88,24870,SENDAI,10.851,35,7.315251568
JP2010001071327,SUMITOMO CHEMICAL COMPANY LIMITED,JP,2059,20574637.32,33586,NA,9.395,20,7.313332188
JP5010001034867,TORAY INDUSTRIES INC,JP,2060,20373809.35,48031,TOKYO,7.973,20,7.309072238
JP1180001017009,SUZUKEN CO LTD,JP,4645,20363183.77,15477,NAGOYA,10.13,46,7.308845681
KR1101110393134,"LG DISPLAY CO.,LTD.",KR,2630,20276012.54,NA,SEOUL,-29.489,26,7.306982551
JP3180301014273,TOYOTA INDUSTRIES CORPORATION,JP,2910,20059935.96,64641,KARIYA,7.893,29,7.302329542
JP4010401023000,JAPAN TOBACCO INC,JP,1200,19937920.78,61975,TOKYO,16.957,12,7.299679866
JP5120001059606,ASAHI KASEI CORPORATION,JP,2059,19794352.11,40689,TOKYO,11.271,20,7.296541291
KR1101113748253,CJ CHEILJEDANG CORPORATION,KR,1081,19305979.1,NA,SEOUL,6.941,10,7.285691832
JP4010401022860,NIPPON EXPRESS CO LTD,JP,4941,19279670.87,71525,MINATO,13.891,49,7.285099616
KR1101114566406,MERITZ FINANCIAL GROUP INC,KR,6619,19273718.5,NA,SEOUL,-16.142,66,7.284965512
JP6010601036386,ASAHI GROUP HOLDINGS LTD,JP,1105,19164286.28,29327,TOKYO,15.813,11,7.28249265
JP5010701000904,ISUZU MOTORS LIMITED,JP,2910,19134646.47,36856,SHINAGAWA,12.662,29,7.281820443
JP7010401088742,OBAYASHI CORPORATION,JP,4211,19071233.41,14993,MINATO,19.107,42,7.280378781
JP3010005002599,"BANK OF JAPAN, NIPPON GINKO",JP,6411,18645818.28,NA,TOKYO,30.059,64,7.270581447
JP4290001007004,KYUSHU ELECTRIC POWER COMPANY INCORPORATED,JP,3511,18519319.87,21180,FUKUOKA,6.297,35,7.267625033
JP8010401006744,KAJIMA CORPORATION,JP,4120,18498169.91,18673,TOKYO,18.798,41,7.267128764
JP2010801012579,RICOH CO LTD,JP,2823,18478197.51,90141,TOKYO,7.525,28,7.266659605
JP6010401050876,ANA HOLDINGS INC,JP,5110,18162061.34,45849,TOKYO,4.818,51,7.259165138
JP5010001034768,KIRIN HOLDINGS COMPANY LIMITED,JP,1105,17790550.99,31040,TOKYO,10.187,11,7.250189399
KR1201110001743,HYUNDAI STEEL COMPANY,KR,2593,17716868.81,NA,INCHEON,0.306,25,7.248386969
JP6010401020516,TOKYO GAS CO LTD,JP,3522,17711454.15,16591,MINATO,5.829,35,7.248254219
JP1120001037978,KUBOTA CORPORATION,JP,2830,17608292.93,41027,OSAKA,13.597,28,7.245717255
JP8120001077530,HANWA CO LTD,JP,4672,17548234.28,4627,OSAKA,-12.038,46,7.244233424
JP6140001005714,KOBE STEEL LIMITED,JP,2410,17201794.52,40831,KOBE,-9.152,24,7.235573756
JP3180001031569,CENTRAL JAPAN RAILWAY COMPANY,JP,4910,16970074.18,29603,NAGOYA,14.809,49,7.229683741
JP6010001034957,MITSUI FUDOSAN CO LTD,JP,6831,16779616.67,19081,NA,9.998,68,7.224782035
JP8013401000626,HINO MOTORS LTD,JP,2920,16702824.86,34548,TOKYO,8.6,29,7.222789927
KR1101114594952,E-MART INC.,KR,4719,16464743.55,NA,SEOUL,3.203,47,7.216554971
JP5010401049977,SOJITZ CORPORATION,JP,4649,16143744.81,18839,TOKYO,12.145,46,7.208004284
JP4011101011880,TAISEI CORPORATION,JP,4120,16111592.09,14562,TOKYO,23.184,41,7.207138458
KR1101110013774,DOOSAN CORP.,KR,1101,16009447.53,NA,SEOUL,11.063,11,7.204376345
KR1101112177388,"HYUNDAI GLOVIS CO.,LTD.",KR,7990,15779971.25,NA,SEOUL,15.574,79,7.198106208
JP5010601004914,LIXIL GROUP CORPORATION,JP,2512,15701352.89,61634,TOKYO,8.747,25,7.195937074
JP1010401013565,SHIMIZU CORPORATION,JP,4120,15623661.99,16297,TOKYO,19.194,41,7.193782835
KR1101113045112,GS HOLDINGS CORP.,KR,6420,15361947.87,NA,SEOUL,19.978,64,7.186446287
JP7010001023785,NIPPON YUSEN KABUSHIKI KAISHA,JP,5020,15348252.6,34857,TOKYO,8.525,50,7.186058938
KR1101110371346,"SK TELECOM CO.,LTD.",KR,6190,15325360.37,NA,SEOUL,5.065,61,7.185410696
JP2080401016040,YAMAHA MOTOR CO LTD,JP,3091,15256267.73,55255,IWATA,16.044,30,7.183448302
KR1101110000086,"LOTTE SHOPPING CO.,LTD.",KR,4719,15220245.92,NA,SEOUL,-10.872,47,7.18242167
JP1140001005719,KAWASAKI HEAVY INDUSTRIES LTD,JP,3099,15099678.53,36332,KOBE,8.338,30,7.178967701
JP2010401063502,T&D HOLDINGS LTD,JP,6500,15093536.54,17979,TOKYO,8.83,65,7.17879101
JP7010001034964,YAMATO HOLDINGS CO LTD,JP,4941,14996743.85,224945,TOKYO,7.921,49,7.175996974
KR1101110007909,"HYUNDAI ENGINEERING & CONSTRUCTION CO.,LTD.",KR,4211,14923814.33,NA,SEOUL,11.991,42,7.173879837
JP4070001011201,YAMADA DENKI CO LTD,JP,4741,14825557.09,19985,TAKASAKI,5.953,47,7.171011021
JP4130001000049,KYOCERA CORPORATION,JP,2611,14710699.68,75505,KYOTO,6.064,26,7.167633329
JP4010401016607,DAITO TRUST CONSTRUCTION CO LTD,JP,4120,14593312.37,17757,TOKYO,46.482,41,7.164153879
KR1101110005078,"SAMSUNG FIRE & MARINE INSURANCE CO.,LTD",KR,6512,14300640.61,NA,SEOUL,-5.576,65,7.155355492
JP5010001008680,SHIN-ETSU CHEMICAL COMPANY LIMITED,JP,2016,14199862.49,22783,TOKYO,15.644,20,7.152284139
JP4130001030475,MURATA MANUFACTURING CO LTD,JP,2611,14184333.52,74109,KYOTO,14.989,26,7.151808934
JP9130001002387,NIDEC CORPORATION,JP,2611,14130110.88,117206,KYOTO,9.57,26,7.15014557
KR1101110005953,SAMSUNG LIFE INSURANCE CO. LTD,KR,6500,13997741.6,NA,SEOUL,4,65,7.146057972
JP6010001023786,MITSUBISHI MATERIALS CORPORATION,JP,2932,13947562.58,28601,CHIYODA,-6.911,29,7.144498319
JP2010001008650,AGC INC,JP,2311,13945673.94,55598,TOKYO,5.942,23,7.144439507
JP1120001059675,WEST JAPAN RAILWAY COMPANY,JP,4910,13874894.68,48323,OSAKA,11.5,49,7.142229695
JP5010001034743,OJI HOLDINGS CORPORATION,JP,1712,13869430.1,36810,TOKYO,11.8,17,7.142058616
JP4010001034760,KAO CORPORATION,JP,2041,13766870.8,33603,TOKYO,24.173,20,7.138835237
KR1942110000943,"DOOSAN HEAVY INDUSTRIES & CONSTRUCTION CO.,LTD.",KR,4299,13525370.84,NA,NA,3.715,42,7.131149181
KR1101110003204,HANWHA LIFE INSURANCE CO. LTD,KR,6500,13463547.43,NA,SEOUL,0.275,65,7.129159505
JP7010501016231,TOPPAN PRINTING CO LTD,JP,1812,13205509.05,51712,TOKYO,4.907,18,7.120755147
JP9120001079055,JTEKT CORPORATION,JP,2815,13113422.71,49933,OSAKA,2.836,28,7.117716061
KR1812110000386,"KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO.,LTD.",KR,3011,13113278.09,NA,SEOUL,0.778,30,7.117711271
KR1101110193196,LOTTE CHEMICAL CORPORATION.,KR,2059,13062254.41,NA,SEOUL,9.456,20,7.116018138
JP4010401051711,HAKUHODO DY HOLDINGS INCORPORATED,JP,7311,13032943.23,21469,MINATO,27.113,73,7.115042504
JP5010001112730,JAPAN POST BANK CO LTD,JP,6419,12983873.49,12517,TOKYO,4.206,64,7.113404275
JP7010701007666,JAPAN AIRLINES COMPANY LTD (JAL),JP,5110,12982797.14,35653,TOKYO,8.527,51,7.113368271
JP2012701012287,"IIDA GROUP HOLDINGS CO., LTD.",JP,4120,12898059.32,9693,TOKYO,9.912,41,7.11052437
JP5011101012069,DAI NIPPON PRINTING CO LTD,JP,5811,12896909.37,38181,SHINSHUKU,10.605,58,7.110485648
JP4010001118786,OTSUKA HOLDINGS CO LTD,JP,2120,12874046.42,32992,TOKYO,9.664,21,7.109715071
JP4010601031604,IHI CORPORATION,JP,2899,12755317.83,28964,NA,10.962,28,7.105691284
JP2180301014324,TOYOTA BOSHOKU CORPORATION,JP,2932,12681343.58,44375,KARIYA,14.944,29,7.103165269
JP3120001077601,OSAKA GAS CO LTD,JP,3522,12591435.58,20543,HIGASHI-OSAKA,6.855,35,7.100075248
JP7010001034849,TDK CORPORATION,JP,2611,12539439.25,107138,TOKYO,11.299,26,7.098278116
KR1101110095285,DB INSURANCE CO. LTD,KR,6500,12436026.25,NA,SEOUL,8.814,65,7.09468163
JP4240001006753,CHUGOKU ELECTRIC POWER CO INC,JP,3511,12395143.02,13163,NA,19.22,35,7.093251542
JP7013201016303,PAN PACIFIC INTERNATIONAL HOLDINGS CORPORATION,JP,4719,12340954.18,13546,TOKYO,19.087,47,7.09134874
JP4010401052081,MITSUI CHEMICALS INC,JP,2059,12318188.1,17979,MINATO,11.259,20,7.090546831
JP5010001034966,ASTELLAS PHARMA INC,JP,2120,12042999.5,15883,TOKYO,19.032,21,7.080734668
JP1130001011420,NINTENDO CO LTD,JP,3240,12037893.7,6200,KYOTO,23.446,32,7.080550504
JP2010001008774,MITSUBISHI ESTATE CO LTD,JP,6831,11979724.42,9619,TOKYO,11.537,68,7.078446828
JP8010401080079,SUNTORY BEVERAGE & FOOD LTD,JP,1089,11907853.27,24213,TOKYO,13.394,10,7.075833475
JP7010001034881,NOMURA HOLDINGS INC,JP,6420,11847553.31,26629,TOKYO,9.09,64,7.073628671
KR1101110035893,HYUNDAI MARINE & FIRE INSURANCE CO. LTD,KR,6500,11646563.47,NA,SEOUL,8.297,65,7.066197798
JP4010901008153,TOHO HOLDINGS CO LTD,JP,4645,11625648.97,7847,TOKYO,10.496,46,7.065417206
JP9010701020592,RAKUTEN INC,JP,4791,11624229.75,20053,TOKYO,-6.044,47,7.065364185
KR1101113975517,"KB FINANCIAL GROUP, INC",KR,6492,11563296.93,162,SEOUL,11.71,64,7.063081678
JP9010001123947,MEIJI HOLDINGS CO LTD,JP,1051,11524434.62,17571,TOKYO,16.357,10,7.061619628
KR1101112322438,SHINHAN FINANCIAL GROUP,KR,6420,11325527.02,172,SEOUL,12.218,64,7.05405842
JP6120001077615,NH FOODS LTD,JP,1013,11313947.03,17339,OSAKA,6.49,10,7.053614141
KR1301110005199,"SK NETWORKS CO.,LTD.",KR,4671,11275039.02,NA,SUWON-SI,0.071,46,7.052118054
JP4010401053410,SONY FINANCIAL HOLDINGS INC.,JP,6500,11220952.53,NA,TOKYO,13.685,65,7.050029725
JP6120001023131,KINTETSU GROUP HOLDINGS CO LTD,JP,6831,11151325.77,30506,OSAKA,13.442,68,7.047326503
JP8010401006942,ORIX CORPORATION,JP,6492,11047341.69,31233,TOKYO,13.412,64,7.043257787
KR1101110108484,"KOREAN AIR LINES CO.,LTD.",KR,5110,10954748.18,NA,SEOUL,-27.652,51,7.039602399
JP9130001026717,SG HOLDINGS CO LTD,JP,7990,10795750.14,51363,KYOTO,18.776,79,7.033252825
JP6010401015821,TOKYO CENTURY CORPORATION,JP,6492,10767323.28,NA,TOKYO,14.378,64,7.032107753
KR1101111296676,LG UPLUS CORP.,KR,6190,10694393.82,NA,SEOUL,8.106,61,7.029156173
JP4010401082896,MITSUI OSK LINES LIMITED,JP,5020,10629291.99,8931,MINATO,7.35,50,7.026504338
JP7011001016291,TOKYU CORPORATION,JP,4910,10434908.5,23637,TOKYO,10.445,49,7.018488645
JP1120001059650,SEKISUI CHEMICAL CO LTD,JP,4120,10388721.61,27003,HIGASHI-OSAKA,13.177,41,7.016562108
JP4010401020757,TOKYO ELECTRON LIMITED,JP,2611,10370616.73,13837,TOKYO,29.484,26,7.015804584
JP1010001034813,SHISEIDO COMPANY LIMITED,JP,2042,10369748.5,40000,TOKYO,20.735,20,7.015768223
JP3011101060499,ISETAN MITSUKOSHI HOLDINGS LTD,JP,4719,10296145.71,12453,TOKYO,-0.419,47,7.01267468
JP8010001034740,AJINOMOTO COMPANY INC,JP,1089,10164830.95,34504,TOKYO,7.902,10,7.00710016
JP4010001090011,SUMITOMO FORESTRY CO LTD,JP,4673,10157258.86,19332,TOKYO,15.436,46,7.006776521
JP6140001068331,KATO SANGYO CO LTD,JP,4617,9849180.314,3479,NISHINOMIYA-HAMA,9.964,46,6.993400088
JP6011001035920,SECOM CO LTD,JP,8010,9752254.246,58404,NA,12.61,80,6.989105015
JP4010001008806,YAMAZAKI BAKING CO LTD,JP,1071,9724633.051,28724,CHIYODA,6.513,10,6.987873223
JP4010401039979,Z HOLDINGS CORPORATION,JP,6209,9698280.003,14168,TOKYO,12.948,62,6.986694719
JP4010401048922,DENTSU GROUP INC.,JP,7311,9673322.57,66400,TOKYO,-4.063,73,6.98557567
JP4011101010841,SEIKO EPSON CORPORATION,JP,2611,9646762.062,75608,SUWA,7.848,26,6.984381567
JP2120001077528,PALTAC CORPORATION,JP,4645,9626605.668,2196,OSAKA,16.869,46,6.983473182
JP8011501009422,NIPPON PAPER INDUSTRIES CO LTD,JP,1712,9603606.587,12592,TOKYO,5.6,17,6.982434361
JP9010001139555,"SUMITOMO MITSUI TRUST HOLDINGS, INC",JP,6420,9396633.258,21658,TOKYO,9.291,64,6.972972277
JP3010001026998,HITACHI CONSTRUCTION MACHINERY CO LTD,JP,2892,9362991.754,24591,NA,18.926,28,6.971414641
JP8011101010739,SUMITOMO REALTY & DEVELOPMENT CO LTD,JP,4110,9323937.764,13676,SHINSHUKU,15.893,41,6.969599366
KR1101110398556,"SAMSUNG SDS CO.,LTD.",KR,6201,9258621.48,NA,SEOUL,15.831,62,6.966546329
JP5010001084367,KONICA MINOLTA INC,JP,2670,9203440.98,43961,TOKYO,0.053,26,6.963950232
JP7010401078520,INPEX CORPORATION,JP,610,9164268.337,3117,TOKYO,20.636,6,6.962097797
KR1101110004632,LG INTERNATIONAL CORP.,KR,4649,9095575.449,NA,SEOUL,-6.426,46,6.958830181
JP1010001095640,DAIICHI SANKYO COMPANY LIMITED,JP,2120,9032134.626,15348,NA,10.807,21,6.955790402
JP8100001007753,MINEBEA MITSUMI INC,JP,2815,9025869.676,82617,TOKYO,14.44,28,6.955489058
KR1101110002694,GS ENGINEERING & CONSTRUCTION CORP.,KR,4120,8996881.451,NA,SEOUL,16.951,41,6.954091998
KR1101110006167,CJ LOGISTICS CORPORATION,KR,4941,8995602.667,NA,SEOUL,3.136,49,6.954030265
JP8011001058176,PERSOL HOLDINGS CO LTD,JP,7820,8928905.551,45179,TOKYO,12.404,78,6.950798229
KR1101110003965,LS CORP.,KR,2434,8887106.702,NA,SEOUL,5.067,24,6.948760395
JP2011001096933,TOKYU FUDOSAN HOLDINGS CORPORATION,JP,6831,8861067.463,22953,TOKYO,10.602,68,6.947486043
KR1101110394174,"SAMSUNG SDI CO.,LTD.",KR,2611,8721218.087,NA,YONGIN-SI,4.581,26,6.940577147
JP7120001077473,DAIWABO HOLDINGS CO LTD,JP,1310,8684940.502,5654,OSAKA,29.62,13,6.938766848
JP5120001077442,SHINSHO CORPORATION,JP,4672,8611141.051,1576,OSAKA,5.615,46,6.935060703
JP4010001049866,MITSUBISHI UFJ LEASE & FINANCE COMPANY LIMITED,JP,6492,8564958.897,NA,TOKYO,12.405,64,6.932725283
JP5010001008796,FURUKAWA ELECTRIC CO LTD,JP,2434,8412502.59,50232,TOKYO,11.263,24,6.924925211
JP6010001050764,ELECTRIC POWER DEVELOPMENT COMPANY LIMITED,JP,3511,8406384.834,7262,TOKYO,7.65,35,6.924609268
JP5120001077467,TAKASHIMAYA COMPANY LIMITED,JP,4719,8401215.965,7825,OSAKA,5.475,47,6.924342149
JP4290001002946,"COCA-COLA WEST COMPANY, LIMITED",JP,1107,8401099.379,16959,TOKYO,-10.942,11,6.924336122
JP9013301010402,BIC CAMERA INC,JP,4754,8400084.618,8742,TOKYO,13.881,47,6.924283661
KR1101110084915,"DAELIM INDUSTRIAL CO.,LTD.",KR,4120,8378026.45,NA,SEOUL,16.133,41,6.923141727
JP1120001059683,H2O RETAILING CORPORATION,JP,4719,8356221.064,8793,OSAKA,2.879,47,6.922009921
JP2010601040697,MARUHA NICHIRO CORPORATION,JP,6420,8327543.985,11107,TOKYO,13.252,64,6.920516935
JP9010401014548,SHOWA DENKO K K,JP,2059,8306946.157,10813,MINATO,18.844,20,6.919441395
JP9010401078551,ITOCHU ENEX CO LTD,JP,4671,8279356.311,5583,MINATO,13.153,46,6.917996573
JP9020001071492,"FUJI ELECTRIC CO., LTD.",JP,2711,8248422.646,27416,TOKYO,15.887,27,6.916370906
JP6140001008691,SUMITOMO RUBBER INDUSTRIES LTD,JP,2211,8213425.266,39233,KOBE,5.74,22,6.91452431
KR1101110360935,"HANWHA SOLUTIONS CO.,LTD.",KR,2059,8208055.238,NA,SEOUL,-3.796,20,6.91424027
JP3010401038783,HITACHI METALS LTD,JP,2599,8142603.776,29805,MINATO,-7.768,25,6.910763302
JP9010701005032,SUMITOMO HEAVY INDUSTRIES LTD,JP,2891,8141462.67,22543,SHINAGAWA,14.424,28,6.910702436
JP4010401082995,TAIHEIYO CEMENT CORPORATION,JP,2351,8135694.853,13119,MINATO,10.941,23,6.910394651
JP1010001012983,OTSUKA CORPORATION,JP,6209,8124413.173,7272,TOKYO,23.954,62,6.909792002
JP9010401015273,SUMITOMO METAL MINING CO LTD,JP,2444,8058344.344,6873,MINATO,7.115,24,6.906245821
JP7180001034964,OKAYA & CO LTD,JP,4672,8003866.776,NA,NAGOYA,10.396,46,6.903299851
